"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_multiplication_of_numbers[webkit-macos]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","0","test_multiplication_of_numbers[chromium-linux]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","1424","test_successful_registration","tests.authentication","2026-09-19","passed","2026-09-19","","test_registration","",""
"","0","test_multiplication_of_numbers[webkit-windows]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","0","test_user_can_create_course","tests.pytest","2026-09-19","passed","2026-09-19","TestUserFlow","test_fixtures","",""
"","0","test_user_with_operations[Alice]","tests.pytest","2026-09-19","passed","2026-09-19","TestOperations","test_parametrization","",""
"","0","test_multiplication_of_numbers[firefox-debian]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","1","test_multiplication_of_numbers[chromium-debian]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","0","test_several_numbers[1-1]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","0","test_user_can_login","tests.pytest","2026-09-19","passed","2026-09-19","TestUserFlow","test_fixtures","",""
"","0","test_multiplication_of_numbers[chromium-windows]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","0","test_multiplication_of_numbers[webkit-linux]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","0","test_identifiers[+70000000022]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","0","test_numbers[-1]","tests.pytest","2026-09-19","failed","2026-09-19","","test_parametrization","",""
"","1","test_first_try","tests.pytest","2026-09-19","passed","2026-09-19","","test_pytest","",""
"","0","test_numbers[1]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","0","test_user_with_operations[Zara]","tests.pytest","2026-09-19","passed","2026-09-19","TestOperations","test_parametrization","",""
"","1512","test_create_course","tests.courses","2026-09-19","passed","2026-09-19","","test_courses","",""
"","0","test_open_browser[webkit]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","0","test_reruns","tests.pytest","2026-09-19","failed","2026-09-19","","test_reruns","",""
"","0","test_multiplication_of_numbers[webkit-debian]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","1241","test_empty_courses_list","tests.courses","2026-09-19","passed","2026-09-19","","test_empty_courses","",""
"","0","test_multiplication_of_numbers[firefox-windows]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","0","test_numbers[3]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","0","test_user_without_operations[Alice]","tests.pytest","2026-09-19","passed","2026-09-19","TestOperations","test_parametrization","",""
"","0","test_open_browser[firefox]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","0","test_open_browser[chromium]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","1282","test_wrong_email_or_password_authorization[  -password]","tests.authentication","2026-09-19","passed","2026-09-19","","test_authorization","",""
"","1248","test_wrong_email_or_password_authorization[user.name@gmail.com-  ]","tests.authentication","2026-09-19","passed","2026-09-19","","test_authorization","",""
"","1710","test_edit_course","tests.courses","2026-09-19","passed","2026-09-19","","test_courses","",""
"","1651","test_wrong_email_or_password_authorization[  -password]","tests.authentication","2026-09-19","passed","2026-09-19","","test_wrong_email_or_password_authorization","",""
"","1308","test_wrong_email_or_password_authorization[user.name@gmail.com-password]","tests.authentication","2026-09-19","passed","2026-09-19","","test_wrong_email_or_password_authorization","",""
"","0","test_identifiers[+70000000033]","tests.pytest","2026-09-19","passed","2026-09-19","","test_parametrization","",""
"","0","test_rerun_1","tests.pytest","2026-09-19","passed","2026-09-19","TestReruns","test_reruns","",""
